CC_ID,CSR_ROWS,CLUSTERS,ACTIVE_RULES,INERT_RULES,FIRED_IN_TESTS,FIRED_IN_ANALYTICS
abdominal_pain,7,7,2,5,10,0
allergic_rhinitis,10,6,8,2,2,0
anxiety,3,3,1,2,0,0
back_pain,4,4,1,3,0,0
cardio_chest_pain,21,6,21,0,6,0
cardio_leg_swelling,7,4,7,0,4,0
cardio_palpitations,6,4,6,0,5,0
chest_pain,7,7,2,5,8,0
cough,12,8,8,4,2,0
dental_pain,7,3,7,0,2,0
derm_allergic_reaction,11,2,11,0,3,0
derm_cellulitis,9,3,9,0,3,0
derm_rash,36,12,33,3,7,0
diarrhea,4,4,1,3,0,0
dysuria,4,4,1,3,0,0
endo_hyperglycemia,15,3,15,0,3,0
endo_hypoglycemia,9,3,9,0,5,0
endo_thyroid_symptoms,12,3,12,0,4,0
ent_ear_pain,9,4,9,0,5,0
ent_epistaxis,5,2,5,0,3,0
ent_nasal_congestion,9,3,9,0,4,0
ent_sinus_pressure,18,5,18,0,5,0
ent_sore_throat,21,5,21,0,6,0
environmental_heat_illness,12,3,12,0,3,0
environmental_hypothermia_cold_exposure,9,3,9,0,3,0
general_fatigue,6,6,6,0,6,0
general_generalized_weakness,6,5,6,0,5,0
general_nausea_malaise,5,5,5,0,5,0
gi_abdominal_pain,34,6,34,0,7,0
gi_acute_pancreatitis_like,9,3,9,0,1,0
gi_constipation,8,2,8,0,2,0
gi_diarrhea,18,4,18,0,4,0
gi_dysphagia,4,4,4,0,4,0
gi_gi_bleeding,4,2,4,0,2,0
gi_jaundice,5,2,5,0,2,0
gi_vomiting,9,3,9,0,3,0
gu_dysuria_uti,5,3,5,0,3,0
gu_flank_pain,20,4,20,0,4,0
gu_hematuria,4,3,4,0,3,0
gu_pelvic_pain_possible_ovarian_torsion,7,4,7,0,4,0
gu_sti_exposure_discharge,4,3,4,0,3,0
gu_testicular_pain,6,3,6,0,4,0
gu_testicular_pain_prostatitis,41,10,41,0,8,0
gu_urinary_retention,4,3,4,0,3,0
gu_uti_symptoms,43,14,40,3,9,0
gu_vaginal_bleeding,3,3,3,0,3,0
gyn_pelvic_pain,40,10,40,0,10,0
headache,5,5,1,4,0,0
hyperglycemia,4,4,1,3,0,0
id_animal_bite_wound_infection,6,5,6,0,5,0
id_fever,19,6,19,0,6,0
id_flu_like,12,4,12,0,4,0
insomnia,7,3,7,0,2,0
msk_back_pain,21,6,21,0,6,0
msk_joint_pain,11,5,11,0,4,0
msk_sprain_injury,8,3,8,0,3,0
nasal_congestion,3,3,1,2,0,0
neuro_confusion_ams,5,3,5,0,4,0
neuro_dizziness_vertigo,7,3,7,0,2,0
neuro_headache,25,6,25,0,5,0
neuro_seizure,5,4,5,0,4,0
neuro_syncope,5,3,5,0,3,0
neuro_weakness_numbness,5,3,5,0,3,0
ophtho_eye_pain_foreign_body,15,4,15,0,4,0
ophtho_red_eye,18,5,18,0,5,0
ophtho_vision_loss,17,6,17,0,6,0
ortho_trauma_fracture_dislocation,16,4,16,0,4,0
ortho_trauma_head_injury,18,5,18,0,5,0
ortho_trauma_laceration,16,5,16,0,4,0
psych_agitation_psychosis,11,4,11,0,5,0
psych_anxiety_panic,15,3,15,0,3,0
psych_depression_suicidal_ideation,9,4,9,0,6,0
pulm_chest_tightness,8,3,8,0,3,0
pulm_cough,24,5,24,0,6,0
pulm_hemoptysis,7,3,7,0,4,0
pulm_shortness_of_breath,8,4,8,0,5,0
pulm_wheezing,6,3,6,0,4,0
sinus_pressure,11,7,8,3,2,0
sore_throat,3,3,1,2,1,0
tox_overdose_intoxication,28,6,28,0,6,0
tox_poisoning_exposure,16,5,16,0,5,0
tox_withdrawal,12,3,12,0,3,0
