EMITTED_TOKEN,SUGGESTED_LIVE_TOKEN,SCORE,STRATEGY
STREP_PHARYNGITIS,STREP,0.820,containment
STRIDOR,Q_STRIDOR,0.820,containment
THROAT_COUGH,COUGH,0.820,containment
THROAT_DEHYDRATION,DEHYD,0.820,containment
THROAT_FEVER,FEVER,0.820,containment
THROAT_SEVERE_PAIN,PAIN,0.820,containment
THROAT_STRIDOR,THROAT,0.820,containment
THROAT_TENDER_ANT_CERVICAL,THROAT,0.820,containment
VIRAL_PHARYNGITIS,VIRALPHARYNGITISSECONDARYAUTOGENERATED,0.820,containment
TENDER_ANT_CERVICAL,TENDERCERVICALNODES,0.611,weak
