Complaint_Slug,TargetEmergRate,TargetNeedsReviewRate,MaxUnclassifiedRate,MaxWinnerChurnRate,Notes
*,0.10,0.35,0.01,0.15,"Global defaults: conservative urgent-care triage"
cardio_chest_pain,0.40,0.70,0.00,0.10,"High risk, allow higher EMERG"
pulm_shortness_of_breath,0.35,0.70,0.00,0.12,"High risk dyspnea"
neuro_weakness_numbness,0.45,0.80,0.00,0.10,"Stroke/cord concern"
neuro_confusion_ams,0.60,0.90,0.00,0.08,"AMS should heavily review/escalate"
gi_gi_bleeding,0.85,0.95,0.00,0.05,"Bleeding should be emergent"
ophtho_vision_loss,0.60,0.85,0.00,0.08,"Vision loss high stakes"
tox_overdose_intoxication,0.70,0.90,0.00,0.08,"Overdose high stakes"
ortho_trauma_head_injury,0.30,0.70,0.00,0.12,"Concussion/ICH risk"
peds_infant_fever,0.60,0.90,0.00,0.08,"Infant fever high stakes"
derm_allergic_reaction,0.20,0.60,0.00,0.12,"Anaphylaxis subset"
